#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=129 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:101 out:103 type:b dur:2 cpbdur:2 q:45.50 aq:36.84 tex:106 mv:129 misc:477 imb:2 pmb:11 smb:8147 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:45.38 aq:43.15 tex:35 mv:84 misc:449 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:45.09 aq:36.17 tex:4995 mv:3871 misc:2254 imb:225 pmb:308 smb:7627 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:45.21 aq:31.07 tex:68 mv:631 misc:717 imb:1 pmb:63 smb:8096 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:45.26 aq:30.00 tex:9 mv:125 misc:474 imb:3 pmb:9 smb:8148 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:45.15 aq:30.00 tex:1 mv:61 misc:434 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:44.98 aq:35.72 tex:5160 mv:3809 misc:2255 imb:195 pmb:326 smb:7639 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:45.03 aq:37.95 tex:131 mv:731 misc:794 imb:1 pmb:81 smb:8078 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:45.06 aq:43.14 tex:39 mv:137 misc:480 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:45.01 aq:30.00 tex:12 mv:41 misc:427 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:44.90 aq:32.70 tex:5034 mv:3983 misc:2399 imb:228 pmb:323 smb:7609 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:44.94 aq:36.44 tex:157 mv:739 misc:816 imb:2 pmb:81 smb:8077 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:44.96 aq:30.00 tex:8 mv:128 misc:448 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:44.92 aq:42.76 tex:65 mv:126 misc:473 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:44.84 aq:35.31 tex:4667 mv:3886 misc:2295 imb:221 pmb:308 smb:7631 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:44.87 aq:37.25 tex:164 mv:839 misc:829 imb:3 pmb:85 smb:8072 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:44.88 aq:30.00 tex:12 mv:141 misc:487 imb:2 pmb:13 smb:8145 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:44.85 aq:30.00 tex:3 mv:71 misc:438 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:44.75 aq:35.05 tex:5162 mv:3930 misc:2260 imb:221 pmb:313 smb:7626 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:44.79 aq:31.32 tex:159 mv:805 misc:828 imb:3 pmb:82 smb:8075 d:- ref:0 ;
